OBJECTID,PS_Name,ORIG_FID,IN_FID,Dist1_total_energy_output_kWh,Dist2_total_energy_output_kWh,Dist3_total_energy_output_kWh,Mean_total_solarenergy_output_kWh,Mean_Installed_Capacity(MWH)
1,albion st,0,147,3807094.0,353145.2,2012949.0,2057729.4000000001,2057.7294
2,annie pit,1,88,2025177.0,545441.8,3769694.0,2113437.6,2113.4376
3,ardwick,2,285,0.0,0.0,0.0,0.0,0.0
3,ardwick,2,393,0.0,0.0,0.0,0.0,0.0
4,arnside,3,173,2510228.0,18411.5,226267.7,918302.4,918.3024
5,ashton (golborne),4,715,63995.93,14099.5,2250533.0,776209.4766666667,776.2094766666667
6,ashton on mersey,5,280,2648028.0,25356.91,2008797.0,1560727.3033333335,1560.7273033333336
7,ashton under lyne t13,6,378,20518.7,10789100.0,2325715.0,4378444.566666666,4378.444566666666
8,ashwood dale,7,129,76933980.0,533127.5,22163390.0,33210165.833333332,33210.16583333333
8,ashwood dale,7,684,533127.5,1472735.0,76933980.0,26313280.833333332,26313.28083333333
8,ashwood dale,7,918,533127.5,76933980.0,1472735.0,26313280.833333332,26313.28083333333
8,ashwood dale,7,919,76933980.0,533127.5,22163390.0,33210165.833333332,33210.16583333333
8,ashwood dale,7,920,533127.5,76933980.0,1472735.0,26313280.833333332,26313.28083333333
9,askam & dalton,8,182,118957.2,755569.4,7299793.0,2724773.1999999997,2724.7731999999996
10,aspatria,9,106,5754583.0,406843.9,420533.2,2193986.7,2193.9867000000004
10,aspatria,9,535,420533.2,13019440.0,1158829.0,4866267.399999999,4866.2674
11,baguley,10,350,3812.66,3812.66,39403.52,15676.279999999999,15.676279999999998
12,bamber bridge,11,107,518220.3,16565690.0,917692.9,6000534.399999999,6000.5344
13,barbara st,12,6,249041.5,242319.0,413.2414,163924.58046666667,163.92458046666667
13,barbara st,12,310,249041.5,413.2414,249041.5,166165.4138,166.1654138
13,barbara st,12,478,249041.5,413.2414,249041.5,166165.4138,166.1654138
14,barrow,13,179,755569.4,10001020.0,2843079.0,4533222.8,4533.2228
14,barrow,13,244,2843079.0,10001020.0,1932452.0,4925517.0,4925.517
15,barton dock rd,14,80,369943.6,7550702.0,82550.28,2667731.96,2667.73196
15,barton dock rd,14,170,369943.6,7550702.0,82550.28,2667731.96,2667.73196
15,barton dock rd,14,507,369943.6,7550702.0,82550.28,2667731.96,2667.73196
17,blackbull,16,364,1336773.0,56807.06,118154.5,503911.52,503.91152
18,blackburn rd clayton,17,834,70259.06,41548.95,469979.2,193929.06999999998,193.92906999999997
19,blackley,18,1061,343341.4,1673261.0,4730373.0,2248991.8000000003,2248.9918000000002
20,bolton by bowland,19,53,3528335.0,145639.4,419699.8,1364558.0666666667,1364.5580666666667
20,bolton by bowland,19,73,419699.8,3528335.0,145639.4,1364558.0666666667,1364.5580666666667
20,bolton by bowland,19,85,3528335.0,145639.4,419699.8,1364558.0666666667,1364.5580666666667
21,bow lane,20,339,125539.5,2254818.0,2166197.0,1515518.1666666667,1515.5181666666667
23,bradshawgate,22,105,44927.05,242319.0,242319.0,176521.68333333335,176.52168333333336
24,bramhall,23,351,2396017.0,40878.34,851300.9,1096065.4133333333,1096.0654133333333
