OBJECTID,IN_FID,Dist1_total_energy_output_kWh,Dist2_total_energy_output_kWh,Dist3_total_energy_output_kWh,Mean_SolarPV_Potential(kWh),Mean_SolarPV_Potential(MWH)
1,144,4143264.0,353145.2,2070968.0,4143264.0,4143.264
2,87,2570153.0,613135.3,3759156.0,2570153.0,2570.153
3,279,0.0,0.0,0.0,0.0,0.0
3,383,0.0,0.0,0.0,0.0,0.0
4,170,2568242.0,1734.501,225852.0,2568242.0,2568.242
5,694,151612.0,13626.05,2762789.0,151612.0,151.612
6,274,2328932.0,26885.29,113418.5,2328932.0,2328.932
7,369,31009.81,10139580.0,2325715.0,31009.81,31.00981
8,127,77036980.0,1085056.0,22575090.0,77036980.0,77036.98
8,664,1085056.0,1756256.0,77036980.0,1085056.0,1085.056
8,889,1085056.0,77036980.0,1756256.0,1085056.0,1085.056
8,890,77036980.0,1085056.0,22575090.0,77036980.0,77036.98
8,891,1085056.0,77036980.0,1756256.0,1085056.0,1085.056
9,178,120088.1,754070.4,8695473.0,120088.10000000002,120.08810000000003
10,104,17409.32,916860.1,434848.9,17409.32,17.40932
10,522,434848.9,13084510.0,1164804.0,434848.9000000001,434.84890000000007
11,342,22600.51,22600.51,33087.25,22600.51,22.60051
12,105,727723.4,16630490.0,977418.1,727723.4,727.7234
13,5,255202.4,2321.866,413.2414,255202.4,255.20239999999998
13,302,255202.4,413.2414,255202.4,255202.4,255.20239999999998
13,466,255202.4,413.2414,255202.4,255202.4,255.20239999999998
14,175,754070.4,9749516.0,2847380.0,754070.4,754.0704000000001
14,238,2847380.0,9749516.0,2037978.0,2847380.0,2847.38
15,79,476786.5,7726571.0,476786.5,476786.5,476.7865
15,167,476786.5,7726571.0,476786.5,476786.5,476.7865
15,495,476786.5,7726571.0,476786.5,476786.5,476.7865
17,355,1369524.0,57415.2,119250.0,1369524.0,1369.524
18,805,65925.23,34513.7,1076639.0,65925.23,65.92523
19,1007,343438.1,1306783.0,4959119.0,343438.1,343.43809999999996
20,52,2671831.0,145639.4,423631.7,2671831.0,2671.831
20,72,423631.7,2671831.0,145639.4,423631.7,423.6317
20,84,2671831.0,145639.4,423631.7,2671831.0,2671.831
21,331,1340892.0,2204444.0,2732766.0,1340892.0,1340.892
23,103,109188.8,2321.866,2321.866,109188.8,109.1888
24,343,2132521.0,37801.79,1091897.0,2132521.0,2132.521
24,584,2132521.0,1091897.0,37801.79,2132521.0,2132.521
24,887,2132521.0,1091897.0,37801.79,2132521.0,2132.521
