OBJECTID,Site Name,Technology Type,Installed Capacity (MWelec),Development Status
337,Great Glen Scheme,Large Hydro,36,Operational
338,Glendoe Hydro Scheme,Large Hydro,100,Operational
340,Fasnakyle Hydro Extension,Large Hydro,7.5,Operational
341,Kinlochleven Hydro Power Station,Large Hydro,19.5,Operational
342,Gaur,Large Hydro,6.4,Operational
343,Pitlochry,Large Hydro,15,Operational
344,Loch Gair,Large Hydro,6,Operational
345,Sron Mor,Large Hydro,5,Operational
346,Striven,Large Hydro,8,Operational
347,Aigas,Large Hydro,20,Operational
348,Kilmorack,Large Hydro,20,Operational
349,Orrin,Large Hydro,18,Operational
350,Tor Achilty,Large Hydro,15,Operational
351,Ceannacroc,Large Hydro,20,Operational
352,Foyers Falls,Large Hydro,5.2,Operational
353,Invergarry,Large Hydro,20,Operational
354,Livishie,Large Hydro,15,Operational
355,Cassley,Large Hydro,10,Operational
356,Cashlie,Large Hydro,11,Operational
358,Loch Eilde Mor Hydro (Kinlochleven extension),Small Hydro,2,Operational
361,Beeston Weir Hydro Scheme,Small Hydro,1.7,Operational
362,Llyn Brianne Dam,Small Hydro,4.4,Operational
363,Elan Valley Hydro Scheme,Small Hydro,2.9,Operational
364,Turret water treatment works,Small Hydro,1.9,Operational
366,Inverfarigaig,Small Hydro,4,Operational
367,Kingairloch,Small Hydro,3.5,Operational
368,Douglas Water Hydro,Small Hydro,3,Operational
369,Inverlael Hydro,Small Hydro,2.5,Operational
370,River E Hydro Scheme,Small Hydro,3,Operational
371,Innerhadden Burn Hydro,Small Hydro,1.4,Operational
375,Cuileig Hydro Scheme,Small Hydro,3.3,Operational
376,Garrogie Hydro Scheme,Small Hydro,2,Operational
378,Inver Hydro,Small Hydro,2,Operational
379,Loch An Laoigh Hydro,Small Hydro,1,Operational
383,Leacann Hydro,Small Hydro,1,Operational
385,Uisge Dubh Hydro,Small Hydro,2,Operational
386,Ederline Hydro,Small Hydro,1.9,Operational
388,River Lochy Hydro,Small Hydro,2,Operational
389,River Taodail Hydro,Small Hydro,1.4,Operational
391,Donich Water Hydro,Small Hydro,1.4,Operational
393,Glen Fyne 'Merk' Hydro,Small Hydro,1,Operational
394,Beinn Eagagach Hydro,Small Hydro,1.1,Operational
395,Allt Garbh hydro,Small Hydro,1.5,Operational
398,Carnoch Hydro,Small Hydro,1.4,Operational
399,Kilmelfort,Small Hydro,2,Operational
400,Dalchonzie,Small Hydro,4,Operational
401,Lednock,Small Hydro,3,Operational
402,Lubreoch,Small Hydro,4,Operational
403,Loch Ericht,Small Hydro,2.2,Operational
404,Lussa,Small Hydro,2.4,Operational
405,Mullardoch Tunnel,Small Hydro,2.4,Operational
406,Achanalt,Small Hydro,3,Operational
407,Mucomir,Small Hydro,2,Operational
408,Lairg,Small Hydro,3.5,Operational
409,Cuaich,Small Hydro,2.5,Operational
410,Innerwick Hydro,Small Hydro,1,Operational
411,Allt Fionn - resubmission,Small Hydro,2.1,Operational
412,Derrydarroch,Small Hydro,1.9,Operational
413,Cia Aig Hydro,Small Hydro,3,Operational
414,Ardtalnaig Hydro Scheme,Small Hydro,2,Operational
415,Invervar Hydro ,Small Hydro,1.2,Operational
416,Bruar Hydro Scheme,Small Hydro,1.9,Operational
417,Garbhaig Hydro Scheme,Small Hydro,2,Operational
418,Chonais Hydro,Small Hydro,2,Operational
419,Ardtornish Estate-Upgrade to existing,Small Hydro,1.5,Operational
421,Maldie Burn,Small Hydro,4,Operational
422,Black Rock,Small Hydro,3.5,Operational
424,Ben Glas,Small Hydro,1.3,Operational
425,Allt Ladaidh Hydro,Small Hydro,1.3,Operational
426,Allt na Moine,Small Hydro,2,Under Construction
428,Badachro hydro scheme ,Small Hydro,1.5,Operational
429,Chaorach Hydro,Small Hydro,2,Operational
430,Grudie,Small Hydro,2,Operational
431,Langwell Estate hydro scheme,Small Hydro,1.2,Operational
432,Ghuilbinn Hydro Scheme,Small Hydro,2,Operational
433,Nevis Range,Small Hydro,1.1,Operational
