OBJECTID,IN_FID,Dist1_Headspace_MWH,Dist2_Headspace_MWH,Dist3_Headspace_MWH,Mean_Headspace(MWH)
1,144,26762.16601017984,97482.3180480864,81597.25767416257,68613.9139108096
7,87,149466.414536136,80658.96002152823,45802.5374446992,91975.97066745447
9,279,147996.0922734144,58353.833315988835,-1923.07983269016,68142.28191890435
9,383,147996.0922734144,-1923.07983269016,137743.13261772,94605.38168614807
10,170,29655.06240907176,97956.70125821879,9188.97076067292,45600.24480932116
11,694,126692.23095849,57855.2665651398,123032.30852328001,102526.60201563661
13,274,103316.10201623882,31300.7873777028,96796.988865612,77137.9594198512
15,369,62942.987095182,72098.12964274704,58771.688789907,64604.26850927868
16,127,53704.77303704544,109512.0869605752,56993.07261619853,73403.31087127306
16,664,109512.0869605752,58771.98964410912,53704.77303704544,73996.28321390992
16,889,109512.0869605752,53704.77303704544,58771.98964410912,73996.28321390992
16,890,53704.77303704544,109512.0869605752,56993.07261619853,73403.31087127306
16,891,109512.0869605752,53704.77303704544,58771.98964410912,73996.28321390992
17,178,32552.754297672003,134819.1688155108,48407.160028467246,71926.36104721669
19,104,23962.456647745923,680.4024288964802,51433.79593194024,25358.885002860883
19,522,51433.79593194024,28841.78855163984,118430.8525787904,66235.47902079015
23,342,233165.87921999997,60949.92972638975,72745.193370936,122287.0007724419
24,105,65409.927124623115,121470.7665448128,84275.61525001226,90385.43630648272
25,5,51637.71795368881,98011.89490289999,33709.029625176,61119.54749392159
25,302,51637.71795368881,33709.029625176,87495.6122035488,57614.11992747119
25,466,51637.71795368881,33709.029625176,87495.6122035488,57614.11992747119
26,175,134819.1688155108,103536.3262263264,71325.92359056385,103227.13954413368
26,238,71325.92359056385,103536.3262263264,89473.8729334032,88112.04091676448
27,79,32572.4246655048,97031.623765296,100640.6728845444,76748.2404384484
27,167,32572.4246655048,97031.623765296,100640.6728845444,76748.2404384484
27,495,32572.4246655048,97031.623765296,100640.6728845444,76748.2404384484
33,355,83088.77644406016,79374.51594320736,50875.56367604533,71112.95202110428
35,805,114863.65602,39985.51109658504,99275.9272263108,84708.36478096528
37,1007,100345.3978921728,23568.14425827744,103187.02234760641,75700.18816601888
40,52,27720.796590321122,11947.87017335496,310.002822,13326.223195225362
40,72,310.002822,27720.796590321122,11947.87017335496,13326.223195225359
40,84,27720.796590321122,11947.87017335496,310.002822,13326.223195225362
43,331,40037.789448972006,57657.48822780336,24743.512063212,40812.92991332913
47,103,65469.7555197228,98011.89490289999,67994.69148603755,77158.78063622012
48,343,56753.1320929902,47511.69914595168,57709.49449106003,53991.441910000634
48,584,56753.1320929902,57709.49449106003,47511.69914595168,53991.441910000634
48,887,56753.1320929902,57709.49449106003,47511.69914595168,53991.441910000634
54,70,113362.648801002,89452.417262328,46132.18223427911,82982.41609920304
54,356,113362.648801002,89452.417262328,46132.18223427911,82982.41609920304
68,327,103519.04053705439,68372.7649971324,85483.138489833,85791.64800800658
73,571,103316.10201623882,60319.39327918991,31300.7873777028,64978.76089104384
73,921,103316.10201623882,60319.39327918991,31300.7873777028,64978.76089104384
78,1005,48755.60265327192,96367.05677313961,46533.4194407586,63885.35962239004
79,989,48755.60265327192,96367.05677313961,88988.13435926399,78036.93126189183
82,510,8845.286141142358,122300.032550304,39985.51109658504,57043.6099293438
83,123,17689.785422012403,147996.0922734144,57198.7527719454,74294.8768224574
85,920,4045.7347403346,15364.361976,35415.36911104392,18275.15527579284
86,450,97705.0301737728,47864.51625341051,159921.0849234852,101830.21045022283
86,508,97705.0301737728,47864.51625341051,159921.0849234852,101830.21045022283
86,1051,97705.0301737728,47864.51625341051,-3373.64263155492,47398.6345985428
98,375,81638.51012242847,89554.6708235376,72655.53309966816,81282.90468187808
98,922,102688.07069999998,72098.12964274704,89554.6708235376,88113.62372209488
111,681,80658.96002152823,28841.78855163984,154234.62191999998,87911.79016438934
112,971,68519.21534399615,126559.81131998161,96600.717937416,97226.58153379791
115,158,85679.60653093248,138278.88413320802,87495.6122035488,103818.03428922976
117,446,58771.98964410912,67011.98301,109512.0869605752,78432.01987156144
117,814,156805.12704208738,0.0,58771.98964410912,71859.03889539883
119,884,53697.510735725875,47316.578885032795,78228.0339798528,59747.37453353716
126,37,83905.68358299996,48407.160028467246,18209.68723450464,50174.17694865729
126,117,83905.68358299996,48407.160028467246,18209.68723450464,50174.17694865729
129,576,110973.80649332881,67011.98301,13477.20372653088,63820.99774328656
141,574,114662.45651668921,33883.1832438768,132481.42172458558,93675.6871617172
152,638,72115.95351518964,67092.08627817695,78170.17617630935,72459.40532322532
155,464,13832.71632102096,59352.115708637524,50236.2468481536,41140.35962593736
166,892,126439.21971966242,57539.05564056096,33787.317971674565,72588.53111063264
169,838,101335.43828864879,55085.921229488165,96542.12901353282,84321.16284388992
177,358,88009.44120864,31605.72847515468,77389.70775073933,65668.292478178
177,882,88009.44120864,77389.70775073933,31605.72847515468,65668.292478178
179,214,58362.09404635008,38823.54617070071,86942.7153388068,61376.118518619194
179,848,58362.09404635008,38823.54617070071,86942.7153388068,61376.118518619194
186,566,56272.4101038462,12880.683996820318,52650.528890012996,40601.20766355984
188,284,52853.15816992512,110124.44227520999,46684.3017929742,69887.30074603645
191,45,35415.36911104392,171521.70384733917,100638.8132870412,102525.29541514143
191,306,100638.8132870412,171521.70384733917,35415.36911104392,102525.29541514143
191,632,35415.36911104392,171521.70384733917,100638.8132870412,102525.29541514143
191,791,35415.36911104392,171521.70384733917,100638.8132870412,102525.29541514143
193,451,44651.766765944805,44858.59980765741,97214.2493761332,62241.53864991181
198,712,51103.62555265333,55392.82599449592,52650.528890012996,53048.99347905408
201,575,121470.7665448128,137336.9198002956,103593.369362712,120800.3519026068
202,360,57198.7527719454,41693.94315175319,17689.785422012403,38860.827115237
204,357,56261.883998056204,83688.73728845509,96600.717937416,78850.44640797576
205,216,39558.02369361408,128617.00651373398,56123.680441537916,74766.236882962
205,341,56123.680441537916,39558.02369361408,128617.00651373398,74766.236882962
205,535,39558.02369361408,128617.00651373398,56123.680441537916,74766.236882962
205,1049,128617.00651373398,39558.02369361408,97031.623765296,88402.21799088136
206,281,38012.64383592144,13477.20372653088,93925.47547194839,48471.77434480024
222,361,52795.647825588356,167727.5430595632,579.88287979776,73701.02458831643
231,152,30967.1032182,14971.07904750528,12880.683996820318,19606.288754175202
243,605,122218.03943473201,81595.17439188145,47132.504527043406,83648.57278455228
245,670,27720.796590321122,11947.87017335496,92286.52149288,43985.06275218536
246,665,243369.60493521602,61437.20204526912,78228.0339798528,127678.28032011265
250,203,81518.9760591984,46684.3017929742,106568.47671155278,78257.2515212418
250,950,81518.9760591984,106568.47671155278,46684.3017929742,78257.2515212418
263,668,93925.47547194839,38012.64383592144,72655.53309966816,68197.88413584599
