OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
1,1,620,385.934067,1
2,1,616,1459.495912,2
3,1,612,1563.663983,3
4,2,1763,641.784439,1
5,2,1550,1072.159587,2
6,2,1470,1271.475984,3
7,3,608,306.775852,1
8,3,638,1126.069929,2
9,3,594,1216.874268,3
10,4,986,241.238517,1
11,4,1101,2082.597601,2
12,4,1099,2105.844466,3
13,5,27,1082.450448,1
14,5,23,1676.204045,2
15,5,13,2107.878503,3
16,6,646,349.273526,1
17,6,639,3076.063695,2
18,6,685,3460.65921,3
19,7,1219,1446.892714,1
20,7,969,1626.335057,2
21,7,935,1825.522201,3
22,8,1509,1840.157311,1
23,8,1642,2621.608625,2
24,8,1641,4585.778524,3
25,9,1614,4037.347929,1
26,9,1613,5517.438251,2
27,9,1471,5654.227866,3
28,10,1769,1895.734133,1
29,10,1507,3906.378453,2
30,10,1366,4231.860972,3
31,11,1345,952.472051,1
32,11,1556,3632.482758,2
33,11,1598,6068.670022,3
34,12,335,2691.329796,1
35,12,415,3673.318854,2
36,12,414,3700.153855,3
37,13,812,1979.265651,1
38,13,846,2213.105657,2
39,13,820,2736.441933,3
40,14,739,835.578613,1
41,14,772,957.644595,2
42,14,754,2065.890072,3
43,15,736,2210.71137,1
44,15,706,3245.918499,2
45,15,720,3316.909711,3
46,16,378,701.593627,1
47,16,265,941.152389,2
48,16,368,1098.571437,3
49,17,1215,2674.590055,1
50,17,967,5198.069375,2
51,17,936,6534.10876,3
52,18,1096,2069.075479,1
53,18,1220,2230.211363,2
54,18,1009,2474.378375,3
55,19,1613,2188.543542,1
56,19,1614,2821.508,2
57,19,1367,5185.366831,3
58,20,807,1823.171143,1
59,20,709,1996.315397,2
60,20,830,2121.896874,3
61,21,725,1283.49837,1
62,21,847,4638.97653,2
63,21,782,4730.541454,3
64,22,249,339.081517,1
65,22,258,339.081517,1
66,22,259,339.081517,1
67,23,391,683.554832,1
68,23,389,893.833161,2
69,23,348,1587.085724,3
70,24,1014,946.519703,1
71,24,1260,1999.791431,2
72,24,1262,2041.690655,3
73,25,1521,1243.53916,1
74,25,1319,1863.650915,2
75,25,1318,2020.506678,3
76,26,1473,1986.007741,1
77,26,1500,5246.037563,2
78,26,1451,6143.626938,3
79,27,1677,371.099918,1
80,27,1377,1170.952936,2
81,27,1685,1357.503544,3
82,28,942,1276.6898,1
83,28,940,3243.674813,2
84,28,1060,3924.56553,3
85,29,343,822.878672,1
86,29,344,882.89286,2
87,29,354,1400.692949,3
88,30,1287,295.697052,1
89,30,1134,4243.486425,2
90,30,1275,4959.820752,3
91,31,895,979.279629,1
92,31,914,2598.222318,2
93,31,858,4516.238335,3
94,32,861,873.647143,1
95,32,905,1727.310139,2
96,32,901,2140.043576,3
97,33,924,5171.473886,1
98,33,923,16306.30161,2
99,33,928,17010.36549,3
100,34,467,600.08762,1
101,34,471,2259.576198,2
102,34,470,3706.728064,3
103,35,469,163.21847,1
104,35,472,2783.095041,2
105,35,470,3359.839251,3
106,36,873,992.511989,1
107,36,910,1318.794923,2
108,36,905,1606.767617,3
109,37,50,1163.416841,1
110,37,150,2377.708002,2
111,37,76,5611.370716,3
112,38,1468,1101.080063,1
113,38,1582,6989.685671,2
114,38,1333,7310.060438,3
115,39,1314,1370.534501,1
116,39,1639,9027.818986,2
117,39,1555,9965.655076,3
118,40,971,57.236901,1
119,40,1090,1945.475656,2
120,40,973,3917.93096,3
121,41,638,24.110836,1
122,41,594,1271.476051,2
123,41,608,1313.200352,3
124,42,1490,301.076891,1
125,42,1489,1521.97708,2
126,42,1491,4908.004138,3
127,43,984,1291.833988,1
128,43,1104,1749.820604,2
129,43,1230,2307.291559,3
130,44,1540,1376.135246,1
131,44,1621,5755.323546,2
132,44,1688,8056.165853,3
133,45,81,672.586715,1
134,45,137,1678.691525,2
135,45,138,1692.079836,3
136,46,165,852.641935,1
137,46,128,2519.765168,2
138,46,127,2705.296454,3
139,47,1588,3313.844207,1
140,47,1625,4024.888384,2
141,47,1384,4503.241256,3
142,48,639,998.767937,1
143,48,685,1060.084535,2
144,48,633,3245.558151,3
145,49,624,2974.89345,1
146,49,615,3226.038256,2
147,49,625,4268.405029,3
148,50,299,233.553449,1
149,50,305,682.088831,2
150,50,306,1446.543038,3
151,51,1583,303.960215,1
152,51,1573,4550.763399,2
153,51,1416,6887.053217,3
154,52,119,89.510517,1
155,52,109,2158.961837,2
156,52,20,6870.04833,3
157,53,1283,520.150097,1
158,53,1052,1532.131473,2
159,53,1159,1848.44823,3
160,54,1533,552.72921,1
161,54,1381,2891.852725,2
162,54,1448,5695.423578,3
163,55,1561,2656.992993,1
164,55,1537,3690.408017,2
165,55,1756,4343.123999,3
166,56,1065,2251.030029,1
167,56,1070,5575.407889,2
168,56,1192,8731.360904,3
169,57,1520,372.455023,1
170,57,1455,649.907251,2
171,57,1748,1654.212359,3
172,58,440,206.357713,1
173,58,441,978.40111,2
174,58,439,983.801021,3
175,59,438,3131.914732,1
176,59,437,9071.129676,2
177,59,468,10980.8592,3
178,60,538,157.76559,1
179,60,444,1010.687929,2
180,60,586,2265.936396,3
181,61,483,1964.257109,1
182,61,484,6279.058037,2
183,61,427,8222.887502,3
184,62,364,820.899509,1
185,62,365,2803.478533,2
186,62,294,7287.976368,3
187,63,1415,1552.591301,1
188,63,1496,5306.351379,2
189,63,1752,5934.646151,3
190,64,174,1899.278198,1
191,64,176,11173.07962,2
192,64,177,11722.89488,3
193,65,355,291.543974,1
194,65,354,1965.224742,2
195,65,343,2018.580847,3
196,66,587,812.912953,1
197,66,667,1910.819488,2
198,66,686,2046.113714,3
199,67,1636,458.134043,1
200,67,1725,3415.765143,2
201,67,1362,4114.993287,3
202,68,958,3961.54163,1
203,68,1209,9400.559606,2
204,68,957,13377.13976,3
205,69,249,867.616419,1
206,69,258,867.616419,1
207,69,259,867.616419,1
208,70,25,523.626854,1
209,70,62,614.364898,2
210,70,26,1495.054027,3
211,71,954,2390.729858,1
212,71,1200,7348.693261,2
213,71,952,8670.578376,3
214,72,20,2828.015629,1
215,72,119,6196.031767,2
216,72,109,7784.076725,3
217,73,1656,3830.234356,1
218,73,1665,4004.847051,2
219,73,1478,6194.705999,3
220,74,339,1062.723872,1
221,74,336,1064.882714,2
222,74,326,3202.382244,3
223,75,1588,107.668717,1
224,75,1384,2222.922436,2
225,75,1739,3036.61721,3
226,76,1306,1721.4084,1
227,76,1446,1739.597644,2
228,76,1680,1961.123227,3
229,77,1778,3611.650649,1
230,77,1697,5057.369249,2
231,77,1682,11523.43097,3
232,78,162,264.206652,1
233,78,139,1144.696107,2
234,78,126,1302.76816,3
235,79,15,211.827164,1
236,79,99,637.388789,2
237,79,87,1164.430493,3
238,80,224,652.528715,1
239,80,222,1322.954784,2
240,80,223,2110.939376,3
241,81,1413,146.353644,1
242,81,1388,2839.075905,2
243,81,1503,5038.55732,3
244,82,1421,1221.239455,1
245,82,1616,2622.538931,2
246,82,1547,3117.162172,3
247,83,687,131.496543,1
248,83,625,749.849209,2
249,83,617,1789.841056,3
250,84,119,455.60853,1
251,84,109,2308.349131,2
252,84,20,6636.662448,3
253,85,414,700.040115,1
254,85,415,1210.408339,2
255,85,416,2087.904021,3
256,86,650,315.158855,1
